,year,survey,depth,num_cpue,accepted_name
62,2019,SCS,89.61,6,Gadus morhua
63,2019,SCS,80.47,6,Gadus morhua
64,2018,SCS,132.59,6,Gadus morhua
65,2019,SCS,94.18,6,Gadus morhua
66,2018,SCS,60.35,2,Gadus morhua
67,2016,SCS,69.49,2,Gadus morhua
68,2016,SCS,96.01,6,Gadus morhua
69,2018,SCS,49.38,8,Gadus morhua
70,2016,SCS,91.44,2,Gadus morhua
71,2016,SCS,91.44,2,Gadus morhua
72,2018,SCS,52.12,6,Gadus morhua
73,2016,SCS,91.44,14,Gadus morhua
74,2016,SCS,88.7,2,Gadus morhua
75,2018,SCS,48.46,2,Gadus morhua
76,2019,SCS,89.61,8.571428571,Gadus morhua
77,2017,SCS,45.72,2,Gadus morhua
78,2019,SCS,91.44,2,Gadus morhua
79,2020,SCS,120.7,2,Gadus morhua
80,2016,SCS,76.81,2,Gadus morhua
81,2017,SCS,36.58,2.068965517,Gadus morhua
82,2018,SCS,55.78,8,Gadus morhua
83,2019,SCS,86.87,2.4,Gadus morhua
84,2016,SCS,60.35,6,Gadus morhua
85,2016,SCS,91.44,2.4,Gadus morhua
86,2017,SCS,63.09,8,Gadus morhua
87,2020,SCS,133.5,1.935483871,Gadus morhua
88,2018,SCS,54.86,2,Gadus morhua
89,2016,SCS,63.09,12,Gadus morhua
90,2016,SCS,122.53,6.666666667,Gadus morhua
91,2017,SCS,103.33,12,Gadus morhua
92,2020,SCS,82.3,9.677419355,Gadus morhua
93,2018,SCS,56.69,2,Gadus morhua
94,2016,SCS,60.35,3,Gadus morhua
95,2016,SCS,105.16,14,Gadus morhua
96,2020,SCS,82.3,10,Gadus morhua
97,2020,SCS,177.39,7.2,Gadus morhua
98,2018,SCS,61.26,4,Gadus morhua
99,2019,SCS,93.27,4,Gadus morhua
100,2016,SCS,71.32,10,Gadus morhua
101,2016,SCS,105.16,5.217391304,Gadus morhua
102,2017,SCS,56.69,518,Gadus morhua
103,2020,SCS,82.3,20,Gadus morhua
104,2019,SCS,96.01,6,Gadus morhua
105,2016,SCS,76.81,16,Gadus morhua
106,2017,SCS,226.77,18,Gadus morhua
107,2020,SCS,124.36,34,Gadus morhua
108,2018,SCS,79.55,2,Gadus morhua
109,2016,SCS,81.38,53.79310345,Gadus morhua
110,2017,SCS,67.67,64,Gadus morhua
111,2019,SCS,91.44,2,Gadus morhua
112,2016,SCS,80.47,18,Gadus morhua
113,2017,SCS,72.24,48,Gadus morhua
114,2020,SCS,72.24,662.0689655,Gadus morhua
115,2020,SCS,104.24,4,Gadus morhua
116,2019,SCS,214.88,2,Gadus morhua
117,2016,SCS,77.72,24,Gadus morhua
118,2017,SCS,71.32,68,Gadus morhua
119,2020,SCS,67.67,212,Gadus morhua
120,2020,SCS,107.9,2,Gadus morhua
121,2018,SCS,85.04,8,Gadus morhua
122,2019,SCS,63.09,4.137931034,Gadus morhua
123,2019,SCS,110.64,2,Gadus morhua
124,2016,SCS,67.67,32.14285714,Gadus morhua
125,2016,SCS,154.53,5.217391304,Gadus morhua
126,2017,SCS,56.69,15.65217391,Gadus morhua
127,2018,SCS,69.49,6,Gadus morhua
128,2019,SCS,43.89,2.4,Gadus morhua
129,2016,SCS,68.58,58,Gadus morhua
130,2016,SCS,192.94,2.857142857,Gadus morhua
131,2017,SCS,60.35,2,Gadus morhua
132,2020,SCS,82.3,33.6,Gadus morhua
133,2020,SCS,89.61,3,Gadus morhua
134,2018,SCS,72.24,6,Gadus morhua
135,2019,SCS,66.75,1.935483871,Gadus morhua
136,2016,SCS,65.84,6,Gadus morhua
137,2017,SCS,71.32,3,Gadus morhua
138,2020,SCS,76.81,54,Gadus morhua
139,2018,SCS,79.55,4,Gadus morhua
140,2019,SCS,60.35,2,Gadus morhua
141,2016,SCS,53.95,30,Gadus morhua
142,2017,SCS,69.49,20,Gadus morhua
143,2020,SCS,71.32,2.142857143,Gadus morhua
144,2018,SCS,87.78,4,Gadus morhua
145,2019,SCS,64.01,2,Gadus morhua
146,2019,SCS,175.56,6,Gadus morhua
147,2017,SCS,71.32,6,Gadus morhua
148,2020,SCS,62.18,2.222222222,Gadus morhua
149,2020,SCS,89.61,2,Gadus morhua
150,2018,SCS,87.78,2,Gadus morhua
151,2019,SCS,174.65,2,Gadus morhua
152,2016,SCS,73.15,0,Gadus morhua
153,2020,SCS,64.92,6,Gadus morhua
154,2020,SCS,89.61,2,Gadus morhua
155,2019,SCS,49.38,30,Gadus morhua
156,2019,SCS,187.45,2,Gadus morhua
157,2020,SCS,64.01,4,Gadus morhua
158,2020,SCS,104.24,4,Gadus morhua
159,2018,SCS,64.01,2,Gadus morhua
160,2017,SCS,78.64,144.8275862,Gadus morhua
161,2020,SCS,57.61,24,Gadus morhua
162,2020,SCS,117.04,4,Gadus morhua
163,2018,SCS,71.32,2,Gadus morhua
164,2017,SCS,89.61,189,Gadus morhua
165,2020,SCS,128.02,2,Gadus morhua
166,2018,SCS,66.75,2,Gadus morhua
167,2019,SCS,198.42,2,Gadus morhua
168,2017,SCS,93.27,22,Gadus morhua
169,2020,SCS,73.15,2,Gadus morhua
170,2018,SCS,72.24,12,Gadus morhua
171,2019,SCS,65.84,46,Gadus morhua
172,2017,SCS,203,24,Gadus morhua
173,2020,SCS,257.86,12,Gadus morhua
174,2020,SCS,95.1,2,Gadus morhua
175,2018,SCS,56.69,4,Gadus morhua
176,2019,SCS,69.49,26,Gadus morhua
177,2017,SCS,87.78,4,Gadus morhua
178,2020,SCS,214.88,6,Gadus morhua
179,2018,SCS,67.67,6,Gadus morhua
180,2019,SCS,80.47,1024,Gadus morhua
181,2019,SCS,228.6,2,Gadus morhua
182,2016,SCS,108.81,4,Gadus morhua
183,2016,SCS,212.14,6,Gadus morhua
184,2017,SCS,78.64,74,Gadus morhua
185,2018,SCS,72.24,22,Gadus morhua
186,2019,SCS,71.32,30,Gadus morhua
187,2017,SCS,84.12,92,Gadus morhua
188,2018,SCS,75.9,406,Gadus morhua
189,2019,SCS,62.18,8,Gadus morhua
190,2016,SCS,87.78,32,Gadus morhua
191,2017,SCS,75.9,24,Gadus morhua
192,2018,SCS,79.55,22,Gadus morhua
193,2016,SCS,84.12,40,Gadus morhua
194,2017,SCS,80.47,4,Gadus morhua
195,2018,SCS,258.78,14,Gadus morhua
196,2016,SCS,80.47,30,Gadus morhua
197,2017,SCS,210.31,6,Gadus morhua
198,2018,SCS,277.98,4,Gadus morhua
199,2019,SCS,78.64,2,Gadus morhua
200,2016,SCS,75.9,45.71428571,Gadus morhua
201,2016,SCS,71.32,11.42857143,Gadus morhua
202,2016,SCS,160.93,8.181818182,Gadus morhua
203,2017,SCS,93.27,46,Gadus morhua
204,2018,SCS,114.3,178,Gadus morhua
205,2016,SCS,62.18,2,Gadus morhua
206,2016,SCS,189.28,6,Gadus morhua
207,2017,SCS,78.64,44.34782609,Gadus morhua
208,2019,SCS,134.42,9,Gadus morhua
209,2016,SCS,228.6,2.4,Gadus morhua
210,2017,SCS,82.3,22,Gadus morhua
211,2018,SCS,76.81,12,Gadus morhua
212,2017,SCS,91.44,20,Gadus morhua
213,2018,SCS,78.64,28,Gadus morhua
214,2019,SCS,122.53,2,Gadus morhua
215,2016,SCS,78.64,4,Gadus morhua
216,2017,SCS,93.27,32,Gadus morhua
217,2019,SCS,162.76,4,Gadus morhua
218,2019,SCS,96.01,4,Gadus morhua
219,2016,SCS,99.67,16,Gadus morhua
220,2017,SCS,89.61,13.63636364,Gadus morhua
221,2016,SCS,82.3,4,Gadus morhua
222,2020,SCS,78.64,8,Gadus morhua
223,2019,SCS,87.78,10,Gadus morhua
224,2016,SCS,58.52,5.217391304,Gadus morhua
225,2019,SCS,68.58,18,Gadus morhua
226,2016,SCS,74.98,8,Gadus morhua
227,2019,SCS,69.49,4,Gadus morhua
228,2016,SCS,139.9,4,Gadus morhua
229,2016,SCS,87.78,14,Gadus morhua
230,2020,SCS,103.33,2,Gadus morhua
231,2018,SCS,85.04,24,Gadus morhua
232,2019,SCS,69.49,2,Gadus morhua
233,2016,SCS,155.45,2,Gadus morhua
234,2020,SCS,82.3,52,Gadus morhua
235,2018,SCS,128.93,4,Gadus morhua
236,2019,SCS,56.69,2.727272727,Gadus morhua
237,2016,SCS,87.78,13.04347826,Gadus morhua
238,2020,SCS,75.9,2,Gadus morhua
239,2018,SCS,139.9,4,Gadus morhua
240,2019,SCS,77.72,3,Gadus morhua
241,2016,SCS,108.81,4,Gadus morhua
242,2020,SCS,67.67,66.20689655,Gadus morhua
243,2016,SCS,123.44,2.727272727,Gadus morhua
244,2019,SCS,89.61,9,Gadus morhua
245,2019,SCS,111.56,2,Gadus morhua
246,2016,SCS,85.95,4,Gadus morhua
247,2016,SCS,51.21,2,Gadus morhua
248,2019,SCS,84.12,5.714285714,Gadus morhua
249,2019,SCS,96.93,2,Gadus morhua
250,2019,SCS,99.67,4,Gadus morhua
251,2016,SCS,56.69,2,Gadus morhua
252,2019,SCS,89.61,10,Gadus morhua
253,2019,SCS,64.01,2,Gadus morhua
254,2016,SCS,55.78,4.137931034,Gadus morhua
255,2016,SCS,209.4,6,Gadus morhua
256,2019,SCS,78.64,30,Gadus morhua
257,2019,SCS,71.32,4,Gadus morhua
258,2019,SCS,73.15,2.857142857,Gadus morhua
259,2019,SCS,74.98,5.714285714,Gadus morhua
260,2019,SCS,76.81,24,Gadus morhua
261,2019,SCS,76.81,2,Gadus morhua
262,2019,SCS,216.71,6,Melanogrammus aeglefinus
263,2016,SCS,109.73,353.3333333,Melanogrammus aeglefinus
264,2017,SCS,135.33,152.9032258,Melanogrammus aeglefinus
265,2018,SCS,125.27,50,Melanogrammus aeglefinus
266,2017,SCS,103.33,6,Melanogrammus aeglefinus
267,2019,SCS,215.8,24,Melanogrammus aeglefinus
268,2016,SCS,228.6,54.54545455,Melanogrammus aeglefinus
269,2016,SCS,107.9,794,Melanogrammus aeglefinus
270,2017,SCS,107.9,722,Melanogrammus aeglefinus
271,2020,SCS,259.69,6.206896552,Melanogrammus aeglefinus
272,2020,SCS,148.13,245.7142857,Melanogrammus aeglefinus
273,2018,SCS,103.33,24,Melanogrammus aeglefinus
274,2017,SCS,162.76,12,Melanogrammus aeglefinus
275,2017,SCS,152.7,18,Melanogrammus aeglefinus
276,2019,SCS,247.8,296,Melanogrammus aeglefinus
277,2016,SCS,80.47,3608,Melanogrammus aeglefinus
278,2016,SCS,106.07,1329,Melanogrammus aeglefinus
279,2017,SCS,111.56,632,Melanogrammus aeglefinus
280,2020,SCS,95.1,138,Melanogrammus aeglefinus
281,2020,SCS,118.87,14,Melanogrammus aeglefinus
282,2018,SCS,132.59,18,Melanogrammus aeglefinus
283,2017,SCS,161.85,44,Melanogrammus aeglefinus
284,2019,SCS,286.21,30,Melanogrammus aeglefinus
285,2016,SCS,86.87,8848,Melanogrammus aeglefinus
286,2016,SCS,84.12,772.2580645,Melanogrammus aeglefinus
287,2017,SCS,98.76,562,Melanogrammus aeglefinus
288,2020,SCS,78.64,42.58064516,Melanogrammus aeglefinus
289,2020,SCS,153.62,8,Melanogrammus aeglefinus
290,2018,SCS,89.61,146,Melanogrammus aeglefinus
291,2017,SCS,135.33,1156,Melanogrammus aeglefinus
292,2019,SCS,274.32,6.666666667,Melanogrammus aeglefinus
293,2019,SCS,109.73,140,Melanogrammus aeglefinus
294,2016,SCS,98.76,1174,Melanogrammus aeglefinus
295,2017,SCS,84.12,98,Melanogrammus aeglefinus
296,2020,SCS,129.84,312,Melanogrammus aeglefinus
297,2020,SCS,104.24,2048.571429,Melanogrammus aeglefinus
298,2018,SCS,85.04,464,Melanogrammus aeglefinus
299,2017,SCS,85.04,24,Melanogrammus aeglefinus
300,2019,SCS,109.73,956,Melanogrammus aeglefinus
301,2019,SCS,110.64,488,Melanogrammus aeglefinus
302,2016,SCS,171.91,490,Melanogrammus aeglefinus
303,2016,SCS,145.39,10.71428571,Melanogrammus aeglefinus
304,2017,SCS,90.53,380,Melanogrammus aeglefinus
305,2020,SCS,133.5,14,Melanogrammus aeglefinus
306,2020,SCS,111.56,746,Melanogrammus aeglefinus
307,2018,SCS,84.12,172,Melanogrammus aeglefinus
308,2017,SCS,68.58,4,Melanogrammus aeglefinus
309,2019,SCS,58.52,1822,Melanogrammus aeglefinus
310,2019,SCS,116.13,234,Melanogrammus aeglefinus
311,2016,SCS,217.63,108,Melanogrammus aeglefinus
312,2016,SCS,147.22,10,Melanogrammus aeglefinus
313,2017,SCS,96.93,42,Melanogrammus aeglefinus
314,2020,SCS,93.27,2.5,Melanogrammus aeglefinus
315,2020,SCS,91.44,626,Melanogrammus aeglefinus
316,2018,SCS,79.55,3654,Melanogrammus aeglefinus
317,2019,SCS,108.81,2550,Melanogrammus aeglefinus
318,2016,SCS,133.5,1088,Melanogrammus aeglefinus
319,2016,SCS,213.97,2.608695652,Melanogrammus aeglefinus
320,2017,SCS,87.78,1826,Melanogrammus aeglefinus
321,2020,SCS,86.87,3.870967742,Melanogrammus aeglefinus
322,2020,SCS,81.38,280,Melanogrammus aeglefinus
323,2018,SCS,75.9,1434,Melanogrammus aeglefinus
324,2017,SCS,82.3,21,Melanogrammus aeglefinus
325,2019,SCS,78.64,5794,Melanogrammus aeglefinus
326,2019,SCS,109.73,890,Melanogrammus aeglefinus
327,2016,SCS,95.1,336,Melanogrammus aeglefinus
328,2016,SCS,198.42,2,Melanogrammus aeglefinus
329,2017,SCS,74.98,2722,Melanogrammus aeglefinus
330,2020,SCS,85.95,32,Melanogrammus aeglefinus
331,2020,SCS,299.92,25.71428571,Melanogrammus aeglefinus
332,2018,SCS,74.07,1952,Melanogrammus aeglefinus
333,2017,SCS,60.35,82,Melanogrammus aeglefinus
334,2019,SCS,82.3,18574,Melanogrammus aeglefinus
335,2019,SCS,145.39,26,Melanogrammus aeglefinus
336,2016,SCS,82.3,96,Melanogrammus aeglefinus
337,2016,SCS,178.31,2,Melanogrammus aeglefinus
338,2017,SCS,62.18,2196,Melanogrammus aeglefinus
339,2020,SCS,89.61,4,Melanogrammus aeglefinus
340,2020,SCS,296.27,2,Melanogrammus aeglefinus
341,2018,SCS,66.75,2578,Melanogrammus aeglefinus
342,2019,SCS,80.47,2634,Melanogrammus aeglefinus
343,2019,SCS,266.09,4.137931034,Melanogrammus aeglefinus
344,2016,SCS,87.78,122,Melanogrammus aeglefinus
345,2016,SCS,92.35,1284,Melanogrammus aeglefinus
346,2017,SCS,72.24,2958,Melanogrammus aeglefinus
347,2020,SCS,89.61,14,Melanogrammus aeglefinus
348,2020,SCS,292.61,4,Melanogrammus aeglefinus
349,2018,SCS,82.3,704,Melanogrammus aeglefinus
350,2017,SCS,65.84,8,Melanogrammus aeglefinus
351,2019,SCS,84.12,3130,Melanogrammus aeglefinus
352,2019,SCS,208.48,2,Melanogrammus aeglefinus
353,2016,SCS,96.93,18,Melanogrammus aeglefinus
354,2016,SCS,92.35,1164,Melanogrammus aeglefinus
355,2017,SCS,85.95,2894,Melanogrammus aeglefinus
356,2020,SCS,109.73,11.61290323,Melanogrammus aeglefinus
357,2019,SCS,78.64,1974,Melanogrammus aeglefinus
358,2016,SCS,134.42,96,Melanogrammus aeglefinus
359,2016,SCS,95.1,1034,Melanogrammus aeglefinus
360,2017,SCS,81.38,762,Melanogrammus aeglefinus
361,2020,SCS,109.73,10,Melanogrammus aeglefinus
362,2020,SCS,192.02,42,Melanogrammus aeglefinus
363,2018,SCS,93.27,3686,Melanogrammus aeglefinus
364,2019,SCS,78.64,252,Melanogrammus aeglefinus
365,2019,SCS,156.36,30,Melanogrammus aeglefinus
366,2016,SCS,137.16,70,Melanogrammus aeglefinus
367,2016,SCS,146.3,29.03225806,Melanogrammus aeglefinus
368,2017,SCS,80.47,170,Melanogrammus aeglefinus
369,2020,SCS,91.44,3054,Melanogrammus aeglefinus
370,2020,SCS,195.68,60,Melanogrammus aeglefinus
371,2018,SCS,124.36,416,Melanogrammus aeglefinus
372,2019,SCS,83.21,342,Melanogrammus aeglefinus
373,2016,SCS,97.84,26,Melanogrammus aeglefinus
374,2016,SCS,151.79,2,Melanogrammus aeglefinus
375,2017,SCS,74.07,14,Melanogrammus aeglefinus
376,2020,SCS,81.38,15.55555556,Melanogrammus aeglefinus
377,2020,SCS,228.6,43.84615385,Melanogrammus aeglefinus
378,2018,SCS,63.09,1360,Melanogrammus aeglefinus
379,2019,SCS,89.61,306,Melanogrammus aeglefinus
380,2019,SCS,160.93,32,Melanogrammus aeglefinus
381,2016,SCS,192.02,18.62068966,Melanogrammus aeglefinus
382,2017,SCS,65.84,276,Melanogrammus aeglefinus
383,2020,SCS,67.67,4,Melanogrammus aeglefinus
384,2020,SCS,208.48,24,Melanogrammus aeglefinus
385,2018,SCS,99.67,358,Melanogrammus aeglefinus
386,2019,SCS,80.47,956,Melanogrammus aeglefinus
387,2016,SCS,82.3,58,Melanogrammus aeglefinus
388,2016,SCS,104.24,321.2903226,Melanogrammus aeglefinus
389,2017,SCS,87.78,90,Melanogrammus aeglefinus
390,2020,SCS,83.21,2,Melanogrammus aeglefinus
391,2020,SCS,239.57,17.14285714,Melanogrammus aeglefinus
392,2018,SCS,132.59,3300,Melanogrammus aeglefinus
393,2019,SCS,146.3,86,Melanogrammus aeglefinus
394,2019,SCS,243.23,2,Melanogrammus aeglefinus
395,2016,SCS,71.32,40,Melanogrammus aeglefinus
396,2017,SCS,65.84,414,Melanogrammus aeglefinus
397,2020,SCS,206.65,2,Melanogrammus aeglefinus
398,2019,SCS,94.18,546,Melanogrammus aeglefinus
399,2016,SCS,75.9,280,Melanogrammus aeglefinus
400,2016,SCS,129.84,96,Melanogrammus aeglefinus
401,2017,SCS,42.98,459,Melanogrammus aeglefinus
402,2020,SCS,179.22,16,Melanogrammus aeglefinus
403,2018,SCS,60.35,926,Melanogrammus aeglefinus
404,2016,SCS,69.49,36,Melanogrammus aeglefinus
405,2016,SCS,128.02,150,Melanogrammus aeglefinus
406,2017,SCS,49.38,880,Melanogrammus aeglefinus
407,2020,SCS,66.75,45.51724138,Melanogrammus aeglefinus
408,2020,SCS,182.88,120,Melanogrammus aeglefinus
409,2018,SCS,69.49,2428,Melanogrammus aeglefinus
410,2019,SCS,117.04,536,Melanogrammus aeglefinus
411,2019,SCS,171.91,10,Melanogrammus aeglefinus
412,2016,SCS,69.49,2450,Melanogrammus aeglefinus
413,2016,SCS,96.01,2452,Melanogrammus aeglefinus
414,2017,SCS,35.66,11.42857143,Melanogrammus aeglefinus
415,2020,SCS,58.52,6.206896552,Melanogrammus aeglefinus
416,2020,SCS,192.02,486,Melanogrammus aeglefinus
417,2018,SCS,49.38,2636,Melanogrammus aeglefinus
418,2019,SCS,135.33,57,Melanogrammus aeglefinus
419,2019,SCS,152.7,2,Melanogrammus aeglefinus
420,2016,SCS,91.44,15672,Melanogrammus aeglefinus
421,2016,SCS,91.44,1876,Melanogrammus aeglefinus
422,2017,SCS,43.89,1946,Melanogrammus aeglefinus
423,2020,SCS,49.38,14,Melanogrammus aeglefinus
424,2020,SCS,135.33,330,Melanogrammus aeglefinus
425,2018,SCS,52.12,966,Melanogrammus aeglefinus
426,2019,SCS,93.27,2,Melanogrammus aeglefinus
427,2016,SCS,91.44,27858,Melanogrammus aeglefinus
428,2016,SCS,88.7,1924,Melanogrammus aeglefinus
429,2017,SCS,56.69,764,Melanogrammus aeglefinus
430,2020,SCS,210.31,16.15384615,Melanogrammus aeglefinus
431,2018,SCS,48.46,1038,Melanogrammus aeglefinus
432,2019,SCS,84.12,6,Melanogrammus aeglefinus
433,2019,SCS,89.61,2.857142857,Melanogrammus aeglefinus
434,2016,SCS,87.78,188,Melanogrammus aeglefinus
435,2016,SCS,258.78,14.28571429,Melanogrammus aeglefinus
436,2017,SCS,45.72,276,Melanogrammus aeglefinus
437,2020,SCS,204.83,2,Melanogrammus aeglefinus
438,2018,SCS,41.15,466,Melanogrammus aeglefinus
439,2019,SCS,91.44,66,Melanogrammus aeglefinus
440,2019,SCS,88.7,5.714285714,Melanogrammus aeglefinus
441,2016,SCS,85.04,190,Melanogrammus aeglefinus
442,2016,SCS,138.99,166,Melanogrammus aeglefinus
443,2020,SCS,44.81,4,Melanogrammus aeglefinus
444,2020,SCS,120.7,196,Melanogrammus aeglefinus
445,2018,SCS,50.29,12210,Melanogrammus aeglefinus
446,2019,SCS,92.35,74,Melanogrammus aeglefinus
447,2019,SCS,126.19,72,Melanogrammus aeglefinus
448,2016,SCS,76.81,4270,Melanogrammus aeglefinus
449,2016,SCS,94.18,955,Melanogrammus aeglefinus
450,2020,SCS,60.35,16.55172414,Melanogrammus aeglefinus
451,2020,SCS,157.28,16,Melanogrammus aeglefinus
452,2018,SCS,55.78,1952,Melanogrammus aeglefinus
453,2019,SCS,149.05,4,Melanogrammus aeglefinus
454,2019,SCS,86.87,93.6,Melanogrammus aeglefinus
455,2016,SCS,60.35,7382,Melanogrammus aeglefinus
456,2016,SCS,91.44,132,Melanogrammus aeglefinus
457,2017,SCS,63.09,2008,Melanogrammus aeglefinus
458,2020,SCS,76.81,16,Melanogrammus aeglefinus
459,2020,SCS,133.5,1.935483871,Melanogrammus aeglefinus
460,2018,SCS,54.86,656,Melanogrammus aeglefinus
461,2019,SCS,159.11,4,Melanogrammus aeglefinus
462,2019,SCS,88.7,154,Melanogrammus aeglefinus
463,2016,SCS,63.09,4506,Melanogrammus aeglefinus
464,2016,SCS,122.53,1200,Melanogrammus aeglefinus
465,2017,SCS,103.33,2712,Melanogrammus aeglefinus
466,2020,SCS,82.3,118.0645161,Melanogrammus aeglefinus
467,2020,SCS,186.54,88.96551724,Melanogrammus aeglefinus
468,2018,SCS,56.69,780,Melanogrammus aeglefinus
469,2019,SCS,79.55,990,Melanogrammus aeglefinus
470,2019,SCS,164.59,4,Melanogrammus aeglefinus
471,2016,SCS,60.35,3669,Melanogrammus aeglefinus
472,2016,SCS,105.16,868,Melanogrammus aeglefinus
473,2017,SCS,51.21,1898,Melanogrammus aeglefinus
474,2020,SCS,82.3,294,Melanogrammus aeglefinus
475,2020,SCS,177.39,4.8,Melanogrammus aeglefinus
476,2018,SCS,61.26,304,Melanogrammus aeglefinus
477,2019,SCS,93.27,202,Melanogrammus aeglefinus
478,2016,SCS,71.32,4044,Melanogrammus aeglefinus
479,2016,SCS,105.16,1116.521739,Melanogrammus aeglefinus
480,2017,SCS,56.69,4312,Melanogrammus aeglefinus
481,2020,SCS,82.3,130,Melanogrammus aeglefinus
482,2020,SCS,146.3,4,Melanogrammus aeglefinus
483,2018,SCS,65.84,144,Melanogrammus aeglefinus
484,2019,SCS,73.15,396,Melanogrammus aeglefinus
485,2019,SCS,96.01,194,Melanogrammus aeglefinus
486,2016,SCS,76.81,11402,Melanogrammus aeglefinus
487,2016,SCS,87.78,231.4285714,Melanogrammus aeglefinus
488,2017,SCS,226.77,80,Melanogrammus aeglefinus
489,2020,SCS,124.36,308,Melanogrammus aeglefinus
490,2018,SCS,79.55,150,Melanogrammus aeglefinus
491,2019,SCS,69.49,18,Melanogrammus aeglefinus
492,2019,SCS,91.44,84,Melanogrammus aeglefinus
493,2016,SCS,81.38,7133.793103,Melanogrammus aeglefinus
494,2017,SCS,67.67,652,Melanogrammus aeglefinus
495,2020,SCS,80.47,74,Melanogrammus aeglefinus
496,2018,SCS,87.78,86,Melanogrammus aeglefinus
497,2019,SCS,68.58,168,Melanogrammus aeglefinus
498,2019,SCS,91.44,204,Melanogrammus aeglefinus
499,2016,SCS,80.47,5080,Melanogrammus aeglefinus
500,2016,SCS,61.26,14,Melanogrammus aeglefinus
501,2017,SCS,72.24,1539,Melanogrammus aeglefinus
502,2020,SCS,72.24,771.7241379,Melanogrammus aeglefinus
503,2018,SCS,92.35,188,Melanogrammus aeglefinus
504,2019,SCS,65.84,4,Melanogrammus aeglefinus
505,2016,SCS,77.72,2792,Melanogrammus aeglefinus
506,2017,SCS,71.32,726,Melanogrammus aeglefinus
507,2020,SCS,67.67,3594,Melanogrammus aeglefinus
508,2020,SCS,107.9,28,Melanogrammus aeglefinus
509,2018,SCS,85.04,452,Melanogrammus aeglefinus
510,2019,SCS,63.09,64.13793103,Melanogrammus aeglefinus
511,2019,SCS,110.64,372,Melanogrammus aeglefinus
512,2016,SCS,67.67,10300.71429,Melanogrammus aeglefinus
513,2016,SCS,154.53,897.3913043,Melanogrammus aeglefinus
514,2017,SCS,56.69,662.6086957,Melanogrammus aeglefinus
515,2020,SCS,79.55,36,Melanogrammus aeglefinus
516,2020,SCS,93.27,3.870967742,Melanogrammus aeglefinus
517,2018,SCS,69.49,220,Melanogrammus aeglefinus
518,2019,SCS,43.89,4.8,Melanogrammus aeglefinus
519,2019,SCS,213.06,116,Melanogrammus aeglefinus
520,2016,SCS,68.58,8282,Melanogrammus aeglefinus
521,2016,SCS,192.94,177.1428571,Melanogrammus aeglefinus
